progress,"(['progressive', 'progressing', 'progresses', 'progressed', 'progression'], 103)"
encircled,"([], 1)"
rushing,"(['crushing', 'brushing'], 20)"
knoll,"([], 41)"
bennett,"([], 1)"
dregs,"([], 3)"
neutrophile,"([], 3)"
kindlier,"([], 1)"
suggests,"(['suggestions'], 10)"
relevance,"([], 1)"
superadded,"([], 14)"
abstract,"(['abstraction'], 11)"
anarchists,"([], 3)"
beat,"(['breath', 'beating', 'breast', 'beneath', 'beast', 'beasts', 'belated', 'beauty', 'breadth', 'breathe', 'breasts', 'beatson', 'belfast', 'beats', 'abreast', 'beastly'], 46)"
atrophied,"([], 2)"
languidly,"([], 4)"
lounging,"([], 5)"
cyanide,"([], 2)"
senior,"(['seniority', 'seniors'], 19)"
cherokee,"([], 1)"
flirted,"([], 2)"
getting,"(['forgetting', 'regretting'], 92)"
marshaled,"([], 2)"
thunder,"(['thundered', 'thundering'], 9)"
copyright,"([], 69)"
negligently,"([], 1)"
understandable,"([], 3)"
ankylosis,"([], 54)"
shortage,"([], 1)"
wine,"(['winter', 'whined', 'whine', 'twinkle', 'wined', 'winters', 'wrinkle', 'twinges', 'winner', 'winged', 'swindle', 'winked', 'wuined', 'pwince', 'wince', 'swine'], 61)"
precaution,"(['precautions', 'precautionary'], 9)"
tracheal,"([], 2)"
servitude,"([], 28)"
votive,"([], 1)"
saltanov,"([], 3)"
forme,"(['formless', 'reformer'], 1)"
questions,"(['questionings'], 181)"
poison,"(['provision', 'provisons', 'poisons', 'poisoned', 'poisonous'], 19)"
judiciously,"([], 2)"
inflames,"([], 1)"
shakes,"([], 1)"
saved,"(['starved', 'savored', 'shaved', 'enslaved'], 51)"
restrain,"(['restoration', 'restraints', 'restraining', 'restrained', 'restrains'], 39)"
minded,"(['reminded', 'mindedly'], 21)"
cm,"(['clamp', 'cms', 'comme', 'scamp', 'calms', 'campo', 'comte', 'comb', 'acme', 'comet', 'combs', 'chime', 'cameo', 'cum'], 2)"
tribune,"([], 3)"
luther,"([], 1)"
references,"([], 33)"
impels,"([], 1)"
saber,"(['sabers', 'sabered'], 42)"
gaspee,"([], 3)"
etiology,"([], 8)"
reserved,"([], 15)"
robinson,"([], 5)"
laissez,"([], 1)"
readjusted,"([], 3)"
marries,"([], 1)"
ulcers,"(['ulcerates', 'ulcerans'], 119)"
tag,"(['target', 'dotage', 'stag'], 2)"
lutherans,"([], 1)"
taut,"([], 1)"
postmarks,"([], 1)"
trusty,"([], 3)"
dreamed,"(['undreamed'], 18)"
cement,"(['casement', 'excrement', 'clement', 'placement'], 4)"
favourite,"([], 7)"
effecting,"([], 4)"
muttered,"([], 74)"
reoccupation,"(['preoccupation', 'preoccupations'], 2)"
reference,"(['preference', 'references'], 44)"
wrapping,"([], 6)"
misericorde,"([], 1)"
tersely,"([], 1)"
exactly,"([], 47)"
fucking,"([], 2)"
distressing,"([], 10)"
deepens,"([], 1)"
punitive,"([], 7)"
symmetrical,"(['symmetrically'], 16)"
glowed,"([], 3)"
consonant,"([], 1)"
intricate,"([], 6)"
warships,"([], 4)"
baltimores,"([], 1)"
inconsistent,"([], 5)"
trans,"([], 2)"
cease,"(['increase', 'decease', 'cleansed', 'cleanse', 'decrease', 'crease'], 38)"
forceps,"([], 15)"
semicouncil,"([], 1)"
uric,"(['urica', 'uratic', 'maurice'], 1)"
awls,"(['shawls'], 1)"
planets,"([], 5)"
adventurer,"([], 3)"
recognized,"([], 83)"
hindrances,"([], 1)"
bacteriology,"([], 7)"
backgammon,"([], 1)"
bourienne,"([], 130)"
get,"(['great', 'agent', 'regent', 'gets', 'gently', 'gentle', 'forget', 'signet', 'gullet', 'regret', 'greet', 'urgent', 'beget', 'agents', 'gentry', 'genet', 'ghent', 'goeth', 'magnet', 'digest', 'puget', 'budget', 'ingest', 'paget', 'genito', 'gimlet', 'guests', 'gaiety', 'target', 'guest', 'gweat', 'roguet', 'gavest'], 468)"
slippery,"([], 5)"
girdles,"([], 1)"
gossips,"([], 3)"
scantily,"([], 1)"
unbuttoning,"([], 1)"
hazard,"([], 3)"
pest,"(['preston'], 1)"
past,"(['pasty', 'plaster', 'peasant', 'pastor', 'pasture', 'paste', 'pasteur', 'plastic', 'spastic', 'pastime', 'plastun', 'repast'], 223)"
cum,"([], 1)"
federalists,"([], 53)"
evidently,"([], 374)"
deductible,"([], 9)"
tangle,"(['tangible', 'strangle', 'entangle', 'triangle', 'triangles'], 3)"
unacknowledged,"([], 1)"
sunday,"(['sundays'], 19)"
bidden,"([], 1)"
bleeding,"([], 80)"
cataclysm,"(['cataclysms'], 2)"
submits,"([], 2)"
myomas,"([], 1)"
resected,"(['reinspected'], 11)"
arresting,"([], 14)"
growers,"([], 3)"
drilled,"([], 4)"
sober,"(['sobered', 'soberly', 'somberly', 'somber', 'sorbier'], 7)"
southward,"([], 6)"
morality,"(['mortality'], 6)"
strolling,"([], 1)"
chink,"(['chinks'], 2)"
satellite,"([], 1)"
keith,"([], 3)"
behave,"(['behaved'], 19)"
progressive,"(['progressives', 'progressively'], 53)"
park,"(['spark', 'patrick', 'parkman', 'sparks', 'parker', 'sparkle', 'partake', 'parking'], 15)"
reforming,"([], 2)"
shrines,"([], 3)"
earnestness,"([], 3)"
blindfold,"(['blindfolded'], 4)"
functionary,"([], 1)"
mistakes,"([], 15)"
expose,"(['exposures', 'unexposed'], 16)"
rear,"(['retard', 'areolar', 'dreamer', 'arrears', 'reaumur', 'remarry', 'reactor', 'forbear'], 30)"
rout,"([], 2)"
roux,"([], 1)"
illegally,"([], 3)"
fortresses,"([], 4)"
shoves,"([], 1)"
squatting,"([], 8)"
apsherons,"([], 4)"
putrefactive,"([], 6)"
victoriously,"([], 1)"
remanded,"(['reprimanded'], 1)"
hot,"(['shot', 'short', 'sholto', 'throat', 'hotel', 'shouts', 'honest', 'host', 'shots', 'shoots', 'ghost', 'hotels', 'hotly', 'hotch', 'shout', 'shoot', 'exhort', 'hosts', 'choate', 'hobart', 'hostel', 'photo', 'ghosts', 'holt'], 119)"
quietest,"([], 2)"
purgation,"([], 1)"
senile,"([], 18)"
grammar,"([], 2)"
dreamer,"(['dreamers'], 2)"
campbell,"([], 1)"
eggleston,"([], 1)"
sly,"(['softly', 'steely', 'supply', 'sorely', 'simply', 'sleepy', 'surly', 'silly', 'sadly', 'solely', 'singly', 'costly', 'justly', 'sagely', 'schley', 'slay', 'lastly', 'scaly', 'snugly', 'busily', 'shyly', 'sickly', 'subtly', 'sulky', 'sultry', 'basely', 'sicily'], 16)"
liquefy,"([], 3)"
terenty,"([], 5)"
annexing,"([], 1)"
clot,"(['clots', 'cloths', 'closest', 'clotted', 'closet'], 70)"
salol,"([], 1)"
problematical,"([], 1)"
maude,"(['marauder', 'maraude'], 1)"
faction,"(['factions', 'fraction'], 9)"
ramblings,"([], 1)"
explorers,"([], 2)"
weary,"(['wearily'], 52)"
tale,"(['tackle', 'stable', 'tailed', 'staples', 'stalked', 'talker', 'tenable', 'stables', 'notable', 'talent', 'trailer', 'staple', 'talents', 'totaled', 'tablets', 'tablet', 'tactile', 'tables', 'startle', 'talkers', 'thaler', 'tattle', 'natalie', 'tackled', 'trample', 'fatale', 'twaddle', 'trailed', 'stanley'], 21)"
quickens,"([], 1)"
privacy,"([], 3)"
radiated,"(['eradicated'], 5)"
gulch,"([], 3)"
breakfasting,"([], 2)"
contribution,"([], 4)"
scullery,"([], 1)"
date,"(['updated', 'undated', 'dated', 'dilate', 'dates', 'adapted', 'darted', 'daytime', 'donate', 'drafted', 'daunted', 'debated', 'debate', 'debates', 'mandate', 'dictate', 'mediate', 'exudate', 'dilated', 'dilates', 'deviate', 'radiate', 'hydrate', 'educate', 'sedate', 'update'], 48)"
gage,"(['baggage', 'granges', 'gauge', 'granger', 'gargle', 'garage'], 4)"
flings,"([], 1)"
grew,"([], 166)"
lincoln,"([], 83)"
cucumbers,"([], 1)"
understands,"([], 7)"
plastered,"(['unplastered'], 2)"
compagne,"(['compagnie'], 1)"
birdie,"([], 1)"
averting,"([], 3)"
doute,"(['redoute'], 1)"
golf,"([], 1)"
voltorn,"([], 1)"
gentle,"(['gentile', 'gentlest', 'gentille'], 58)"
friedland,"([], 5)"
karl,"([], 10)"
histological,"([], 4)"
reread,"([], 4)"
brows,"(['eyebrows', 'brownish', 'browsing', 'burrows'], 32)"
toothless,"([], 3)"
accrue,"([], 3)"
plexuses,"([], 2)"
recommends,"([], 10)"
willow,"([], 1)"
pursued,"([], 33)"
j,"(['jug', 'jem', 'joy', 'ajar', 'jowl', 'jest', 'july', 'jews', 'jail', 'jay', 'jobs', 'jim', 'jr', 'jaws', 'jets', 'jerk', 'jar', 'joys', 'je', 'jew', 'juan', 'jolt', 'jugs', 'jena', 'jam', 'joan', 'ja', 'jazz', 'joe', 'jean', 'jan', 'adj', 'jeff', 'joel', 'jake', 'judy'], 92)"
hut,"(['hunts', 'haunt'], 58)"
aunt,"(['daunted', 'amounts', 'augment', 'taunts', 'taunted', 'haunted', 'taunt', 'adjunct', 'auntie', 'jaunty', 'flaunt', 'haunt'], 52)"
bolding,"([], 1)"
reawakened,"([], 1)"
gloucester,"([], 1)"
messenger,"(['messengers'], 25)"
registrar,"([], 2)"
mazuwka,"([], 1)"
awl,"(['shawls'], 1)"
phrases,"([], 14)"
trembling,"([], 49)"
popped,"(['poppyseed'], 3)"
storming,"([], 1)"
lump,"(['klumpke', 'lumps', 'plump', 'plumper', 'slump'], 12)"
pince,"(['patience', 'pittance', 'province', 'pinched', 'princes', 'princely', 'pinckney', 'principe', 'pwovince', 'pwince', 'pinnacle'], 2)"
incorporated,"([], 11)"
redoute,"([], 3)"
reannexation,"([], 2)"
core,"(['chorea', 'cornet', 'courier', 'couture', 'conjure', 'corset', 'corpses', 'cornice', 'courted', 'corked', 'corded', 'contre', 'scourge', 'courte', 'calorie'], 7)"
polls,"(['pollicis'], 10)"
redoubt,"(['redoubts'], 33)"
rational,"(['traditional', 'irrational', 'operational'], 8)"
exuberant,"([], 6)"
eve,"(['review', 'levied', 'devise', 'evoked', 'revise', 'evaded', 'sevier', 'evoke', 'fevers', 'evade', 'denver', 'uneven', 'evenly', 'behave', 'levels', 'neve', 'heaved', 'evince', 'levee', 'grieve', 'revels', 'lever', 'beaver', 'delve', 'envied', 'sevres', 'heave', 'levies', 'evewy', 'relive', 'server', 'revive', 'revert', 'steve'], 30)"
appliances,"([], 9)"
glistened,"([], 1)"
villages,"(['villagers'], 38)"
deplored,"([], 8)"
sprawling,"([], 2)"
glimpses,"([], 6)"
substantive,"([], 1)"
gasfitters,"([], 2)"
gaped,"(['grappled', 'galloped'], 3)"
sows,"(['sorrows', 'snows'], 1)"
simply,"([], 91)"
discouragement,"([], 1)"
elastic,"(['elasticity'], 50)"
cruise,"([], 1)"
african,"(['africans'], 6)"
sedatives,"([], 1)"
porter,"(['supporter', 'porters'], 25)"
xxix,"(['xxxix'], 2)"
provide,"(['providence', 'provides', 'provider'], 47)"
pathfinders,"([], 1)"
poliomyelitis,"([], 5)"
wincing,"([], 5)"
quay,"(['quarry', 'squeaky'], 2)"
vinaigrette,"([], 1)"
heavenly,"([], 7)"
sill,"(['silly', 'skilled', 'seville', 'stills', 'spilled', 'slidell', 'shrill', 'spill', 'skilful'], 17)"
havana,"([], 3)"
barely,"([], 6)"
archduchy,"([], 1)"
emplastrum,"([], 1)"
bombay,"([], 1)"
soaked,"([], 17)"
lily,"([], 2)"
sittings,"([], 1)"
meditating,"([], 5)"
extermination,"([], 4)"
experience,"(['experienced', 'inexperienced', 'inexperience'], 108)"
bal,"(['basely', 'basil', 'global', 'burial', 'ballad', 'bailey'], 2)"
nasi,"([], 3)"
printer,"(['printers', 'sprinter'], 5)"
astounded,"([], 5)"
sustaining,"([], 5)"
corporate,"([], 5)"
claparede,"([], 5)"
unreaped,"([], 1)"
fritz,"([], 2)"
seriously,"(['mysteriously'], 63)"
lumbago,"([], 8)"
arduously,"([], 1)"
kammer,"([], 2)"
inverted,"([], 3)"
mineral,"([], 11)"
everyone,"([], 236)"
pardon,"(['pardons', 'pardonner', 'pardoned'], 21)"
shaft,"(['shafts'], 71)"
venter,"([], 1)"
greediness,"([], 2)"
dice,"(['devices', 'dickens', 'dictate', 'ditches', 'divorce', 'pedicle', 'bodice', 'bodices', 'edifice', 'discern'], 2)"
dish,"(['dishes', 'yiddish', 'danish', 'reddish'], 13)"
victor,"(['victories', 'victors', 'victoire'], 8)"
constitutional,"(['unconstitutional', 'constitutionality', 'constitutionally'], 92)"
destinies,"([], 1)"
midfield,"([], 1)"
wilson,"([], 106)"
tucson,"([], 2)"
informing,"([], 11)"
participated,"([], 3)"
zubov,"(['bezubova', 'zubovski'], 2)"
translucently,"([], 1)"
nodules,"([], 38)"
nesvitski,"([], 71)"
newest,"([], 1)"
silenced,"([], 5)"
anger,"(['dangers', 'endanger', 'rangers', 'changers', 'ranger', 'managers', 'grangers', 'granger', 'angered', 'angler', 'langeron', 'angrier', 'etranger', 'manger'], 59)"
fancywork,"([], 1)"
disentangled,"([], 4)"
fraud,"(['frauds'], 15)"
noise,"(['noisome'], 38)"
mere,"(['merest', 'emerge', 'measure', 'mergers', 'merged', 'mercies', 'merited', 'smeared', 'merge', 'madere', 'merite', 'merrier', 'merges', 'emerges', 'metre', 'merger', 'meagre'], 79)"
attended,"(['unattended'], 132)"
merry,"(['mercury', 'merrily'], 56)"
inverse,"([], 4)"
neutrality,"([], 16)"
travelers,"([], 11)"
accepting,"([], 12)"
boon,"(['boulton', 'buffoon', 'balloon', 'booming', 'booking'], 5)"
methodically,"([], 1)"
undefined,"([], 4)"
labels,"([], 3)"
floundered,"([], 1)"
hug,"(['hugo'], 1)"
inequality,"([], 2)"
bouts,"([], 2)"
cited,"(['recited', 'elicited', 'incited'], 10)"
prisons,"(['provisons'], 6)"
germ,"(['germain', 'germs', 'gerasim'], 7)"
empresses,"([], 1)"
celui,"([], 2)"
kostroma,"([], 3)"
sculler,"(['scullery'], 2)"
vascularity,"([], 6)"
attaches,"([], 6)"
person,"(['personal', 'patersons', 'persons', 'peterson', 'personate', 'paterson', 'personnel', 'personage', 'aspersion', 'personen'], 185)"
translation,"(['translations'], 3)"
circumstances,"([], 107)"
wrongdoing,"([], 1)"
challenging,"(['challengingly'], 5)"
infiltration,"(['infiltrations'], 24)"
vie,"(['levied', 'invite', 'devise', 'divine', 'vienna', 'revise', 'venice', 'divide', 'sevier', 'virile', 'voiced', 'soviet', 'varies', 'viable', 'viper', 'bovine', 'evince', 'vive', 'vise', 'vices', 'ravine', 'viens', 'ville', 'envied', 'levies', 'novice', 'vient', 'vieux', 'votive', 'vierge', 'video', 'movie', 'revive', 'viewer', 'vines', 'vine', 'visage'], 3)"
excellent,"([], 62)"
stag,"(['hostage'], 1)"
encroaches,"([], 3)"
transcribe,"(['transcriber'], 5)"
athwart,"([], 2)"
rolling,"(['patrolling', 'strolling', 'unrolling'], 22)"
zharov,"([], 1)"
syrian,"([], 1)"
pikestaff,"([], 1)"
trotted,"([], 7)"
n,"(['burn', 'ante', 'loan', 'hasn', 'olin', 'sing', 'mint', 'omen', 'hon', 'ann', 'bryn', 'aden', 'zone', 'nays', 'tenn', 'ind', 'wens', 'anus', 'acne', 'pint', 'lint', 'teno', 'cone', 'bony', 'ano', 'mown', 'node', 'zinc', 'numb', 'dung', 'noma', 'nape', 'lung', 'neo', 'novo', 'unna', 'naso', 'vena', 'anal', 'pent', 'hen', 'igni', 'endo', 'anel', 'loin', 'nasi', 'noxa', 'pins', 'ulna', 'wen', 'neve', 'pan', 'pane', 'edin', 'sawn', 'genu', 'fan', 'mon', 'anna', 'bane', 'une', 'onya', 'zen', 'nap', 'sang', 'envy', 'mane', 'lion', 'fun', 'monk', 'icon', 'len', 'naiv', 'vent', 'nos', 'bien', 'rein', 'dont', 'und', 'wins', 'linz', 'enns', 'nuns', 'noon', 'snub', 'nuts', 'juan', 'pont', 'spin', 'din', 'tent', 'aren', 'ants', 'nom', 'ivan', 'dan', 'nag', 'pawn', 'roan', 'ken', 'mien', 'na', 'dans', 'hind', 'pond', 'moan', 'ing', 'ne', 'font', 'punt', 'ong', 'jena', 'nook', 'pang', 'mein', 'knob', 'dron', 'mann', 'sein', 'barn', 'hewn', 'sans', 'sens', 'entr', 'sont', 'bons', 'mend', 'nods', 'unto', 'amen', 'damn', 'ant', 'ny', 'joan', 'kann', 'nur', 'ney', 'ont', 'donc', 'hymn', 'cond', 'ni', 'bunt', 'nun', 'tank', 'gene', 'menu', 'norm', 'scan', 'yarn', 'bin', 'ion', 'noun', 'sn', 'ain', 'fn', 'ben', 'jean', 'jan', 'nm', 'dean', 'nov', 'andy', 'ness', 'owen', 'nick', 'nan', 'hans', 'anon', 'nl', 'yon', 'wan', 'gen', 'vine', 'cong', 'alan', 'con', 'leon', 'khan', 'eden', 'sane', 'nina', 'tony', 'clan', 'noah', 'nets', 'shun', 'noel', 'wand', 'glen', 'min'], 62)"
cartoon,"(['cartoons'], 5)"
whirl,"(['whirled'], 6)"
memento,"([], 2)"
angelically,"([], 1)"
bondmen,"([], 13)"
publicly,"([], 5)"
staid,"(['strained'], 7)"
expressions,"(['expressionless'], 15)"
isabel,"([], 1)"
announcements,"([], 2)"
imaginative,"([], 3)"
coil,"(['council', 'cordial', 'conical', 'coils', 'coiling', 'recoils', 'coiled', 'compile'], 5)"
metacarpi,"([], 2)"
personally,"([], 37)"
trying,"(['betraying', 'tarrying', 'straying'], 181)"
godson,"([], 2)"
imperfecta,"([], 2)"
annex,"([], 1)"
beveridge,"([], 2)"
resulted,"([], 27)"
waising,"([], 1)"
afford,"(['afforded', 'affording', 'affords'], 20)"
savored,"([], 1)"
climate,"([], 15)"
graduates,"([], 1)"
mean,"(['meaning', 'meant', 'meanly', 'mexican', 'meany', 'melan', 'median', 'melaena', 'melanin', 'crimean', 'demean', 'meanest'], 98)"
severely,"([], 29)"
posterity,"([], 13)"
brian,"([], 1)"
feroce,"([], 2)"
track,"(['tracks'], 32)"
departed,"([], 6)"
justifiability,"([], 1)"
jaunty,"([], 3)"
wealthiest,"([], 1)"
turk,"(['turks'], 3)"
trick,"(['tricky', 'stricken', 'tricks', 'tricked', 'patrick', 'trickles', 'trickle', 'trickled', 'trickery'], 17)"
columbus,"([], 6)"
besieged,"([], 3)"
provincialism,"([], 3)"
ingestion,"([], 1)"
weeden,"([], 2)"
dundee,"([], 5)"
guerrillas,"([], 3)"
solved,"(['unsolved', 'absolved'], 19)"
wearer,"([], 1)"
forecasts,"([], 1)"
woodrow,"([], 13)"
grapes,"([], 1)"
conclaves,"([], 1)"
stopped,"([], 210)"
tilling,"(['trilling'], 3)"
fated,"(['floated', 'inflated', 'foliated', 'fungated', 'faltered', 'fatted', 'fasted', 'faceted'], 7)"
accomplished,"([], 39)"
diminution,"([], 10)"
trunks,"([], 50)"
remedy,"(['remedying'], 25)"
wrap,"(['wraps'], 4)"
negotiate,"(['negotiates'], 12)"
laughingstock,"([], 3)"
adored,"(['adorned'], 16)"
carpets,"(['carpenters'], 13)"
helpless,"(['helplessly'], 22)"
morgen,"([], 2)"
unqualified,"([], 2)"
dramatized,"([], 1)"
collins,"([], 1)"
forfeited,"([], 1)"
dussek,"([], 1)"
emergence,"([], 5)"
alloit,"([], 1)"
renamed,"([], 2)"
genesis,"([], 1)"
stricter,"([], 3)"
beeches,"(['breeches'], 12)"
offices,"(['officers'], 37)"
adjuvant,"([], 1)"
suspension,"(['suspensions'], 2)"
unapproachability,"([], 1)"
indignation,"([], 6)"
quests,"([], 1)"
wraps,"([], 2)"
cuneiform,"([], 1)"
rulers,"([], 19)"
ambush,"([], 7)"
specimens,"([], 4)"
capsular,"(['subcapsular'], 11)"
melan,"(['melaena', 'melanin'], 2)"
tokens,"([], 1)"
promoter,"([], 3)"
mortar,"(['mortemart'], 2)"
regularizing,"([], 1)"
purchaser,"([], 4)"
maxilla,"(['maxillary', 'maxillae'], 6)"
role,"(['trouble', 'roles', 'royale', 'roller', 'growled', 'revolve', 'parole', 'profile', 'trolley'], 42)"
haemangioma,"([], 3)"
excessive,"(['excessively'], 42)"
sewed,"(['strewed'], 1)"
intangible,"([], 4)"
quarreling,"([], 2)"
briskness,"([], 3)"
products,"(['productions'], 28)"
glittered,"([], 16)"
disliking,"([], 1)"
vigor,"(['vigour'], 13)"
arrow,"(['sparrows'], 4)"
slighted,"([], 3)"
avare,"([], 1)"
cared,"(['compared', 'cleared', 'scared', 'carved', 'declared', 'charged', 'charred', 'captured', 'clamored', 'charmed', 'carpeted', 'capered', 'scarred', 'carted', 'caressed'], 14)"
tolerated,"([], 8)"
trumpet,"(['trumpets', 'trumpeters'], 3)"
blew,"([], 11)"
grenadier,"([], 6)"
thread,"(['threads'], 16)"
moreau,"([], 5)"
